id,name,sku,status,price,regular_price,sale_price,stock_status,stock_quantity,short_description,permalink
3067,SwitchBot Bot (S1) - Robotic Finger That Makes Any Button Smart,NG-SH-011,publish,279,279,,instock,,"<p>Tiny robotic arm from SwitchBot that physically presses any button or switch remotely. Sticks to any surface with 3M adhesive and connects via Bluetooth with timer and scheduling support. The simplest solution to make non-smart devices smart without any wiring.</p>
",https://neogen.store/product/switchbot-bot-s1-robotic-finger-that-makes-any-button-smart/
3066,Eve Energy Smart Plug (Matter/Thread) - Next-Gen Smart Plug with Power Monitoring,NG-SH-010,publish,399,399,,instock,,"<p>Smart plug from Eve with Matter over Thread protocol for reliable connectivity without Wi-Fi dependency. Accurately monitors power consumption with historical usage data. Sleek design supporting Apple HomeKit, Google Home, and Samsung SmartThings via Matter.</p>
",https://neogen.store/product/eve-energy-smart-plug-matter-thread-next-gen-smart-plug-with-power-monitoring/
3065,Aqara Motion Sensor P1 (MS-S02) - Wide-Angle 170° Smart PIR Sensor,NG-SH-009,publish,279,279,,instock,,"<p>Advanced PIR motion sensor from Aqara with 170-degree detection angle and 7-meter range. Zigbee 3.0 connectivity with 3-level adjustable sensitivity and built-in light sensor. Compatible with Apple HomeKit and all major smart home platforms.</p>
",https://neogen.store/product/aqara-motion-sensor-p1-ms-s02-wide-angle-170-smart-pir-sensor/
3064,Shelly Plus 1PM - Smart Wi-Fi Relay with Power Monitoring,NG-SH-008,publish,189,189,,instock,,"<p>Compact smart relay from Shelly that fits behind any light switch or appliance. Monitors real-time power consumption with direct Wi-Fi connectivity &#8211; no hub required. Ultra-compact form factor (42x36x15mm) with 16A capacity for heavy loads.</p>
",https://neogen.store/product/shelly-plus-1pm-smart-wi-fi-relay-with-power-monitoring/
3063,SwitchBot Curtain 3 (W2400000) - Turn Any Curtain Smart in Minutes,NG-SH-007,publish,549,639,549,instock,,"<p>Smart curtain motor from SwitchBot that converts any existing curtain into a smart curtain without replacing the rail. Bluetooth connectivity with Matter support via SwitchBot Hub. Tool-free installation with battery lasting up to 8 months, with optional solar panel charging.</p>
",https://neogen.store/product/switchbot-curtain-3-w2400000-turn-any-curtain-smart-in-minutes/
3062,Aqara Hub M2 (HM2-G01) - Multi-Protocol Smart Home Gateway,NG-SH-006,publish,499,499,,instock,,"<p>Smart home hub from Aqara supporting Zigbee 3.0, Wi-Fi, Bluetooth, and built-in IR blaster with integrated speaker. Compatible with Apple HomeKit, Google Home, and Amazon Alexa. Serves as the central gateway for all Aqara smart devices.</p>
",https://neogen.store/product/aqara-hub-m2-hm2-g01-multi-protocol-smart-home-gateway/
3046,Sonoff TX Ultimate (T5) Smart Wall Switch - Interactive Elegance with RGB,NG-SH-005,publish,269,309,269,instock,,"<p>The next generation of smart switches. Full-surface touch control, haptic feedback, and customizable RGB ambient lighting. Fully compatible with GCC 220V standards.</p>
",https://neogen.store/product/sonoff-tx-ultimate-t5-smart-wall-switch-interactive-elegance-with-rgb/
3045,Aqara Water Leak Sensor - Safeguard Your Home from Water Damage,NG-SH-004,publish,219,259,219,instock,,"<p>Small but powerful sensor that detects leaks instantly. Receive mobile notifications and trigger alarms to prevent costly water damage.</p>
",https://neogen.store/product/aqara-water-leak-sensor-safeguard-your-home-from-water-damage/
3044,Broadlink RM4 Pro - Universal Smart Remote for IR &amp; RF Devices,NG-SH-003,publish,359,359,,instock,,"<p>The ultimate smart remote hub. Control your TV, AC, and motorized curtains from your smartphone. Supports 50,000+ IR and RF devices with voice control compatibility.</p>
",https://neogen.store/product/broadlink-rm4-pro-universal-smart-remote-for-ir-rf-devices/
3043,UniFi Protect G4 Pro Camera - 4K Ultra HD Surveillance Excellence,NG-SH-002,publish,2899,2899,,instock,,"<p>The pinnacle of UniFi surveillance. 4K resolution, 3x optical zoom, and superior IR night vision in a weatherproof IP67 housing. Uncompromising detail for maximum security.</p>
",https://neogen.store/product/unifi-protect-g4-pro-camera-4k-ultra-hd-surveillance-excellence/
3042,Aqara Smart Door Lock A100 - Elite Security with Apple HomeKey Support,NG-SH-001,publish,1649,1649,,instock,,"<p>Premium smart lock featuring 9 unlocking methods, including Fingerprint and Apple HomeKey. 18-month battery life and seamless integration with HomeKit, Google, and Alexa.</p>
",https://neogen.store/product/aqara-smart-door-lock-a100-elite-security-with-apple-homekey-support/
