"name","name_ar","sku","price","sale_price","quantity","is_infinite","is_taxable","requires_shipping","is_draft","description","short_description","categories","images","weight","barcode"
"MikroTik CRS309-1G-8S+IN","MikroTik CRS309-1G-8S+IN","NGS-MIK-SWI-0321","999","","10","FALSE","TRUE","TRUE","FALSE","MikroTik CRS309-1G-8S+IN available at NGS Smart Home Store. Price: 999 SAR.","MikroTik CRS309-1G-8S+IN &#8211; Smart Home Product","سويتشات","https://neogen.store/wp-content/uploads/NGS-MIK-SWI-0321.webp","",""
"MikroTik CRS305-1G-4S+IN","MikroTik CRS305-1G-4S+IN","NGS-MIK-SWI-0320","599","","10","FALSE","TRUE","TRUE","FALSE","MikroTik CRS305-1G-4S+IN available at NGS Smart Home Store. Price: 599 SAR.","MikroTik CRS305-1G-4S+IN &#8211; Smart Home Product","سويتشات","https://neogen.store/wp-content/uploads/NGS-MIK-SWI-0320.webp","",""
"MikroTik CCR2004-1G-12S+2XS","MikroTik CCR2004-1G-12S+2XS","NGS-MIK-ROU-0319","2499","","10","FALSE","TRUE","TRUE","FALSE","MikroTik CCR2004-1G-12S+2XS available at NGS Smart Home Store. Price: 2499 SAR.","MikroTik CCR2004-1G-12S+2XS &#8211; Smart Home Product","راوترات","https://neogen.store/wp-content/uploads/NGS-MIK-ROU-0319.webp","",""
"MikroTik RB5009UG+S+IN","MikroTik RB5009UG+S+IN","NGS-MIK-ROU-0318","899","","10","FALSE","TRUE","TRUE","FALSE","MikroTik RB5009UG+S+IN available at NGS Smart Home Store. Price: 899 SAR.","MikroTik RB5009UG+S+IN &#8211; Smart Home Product","راوترات","https://neogen.store/wp-content/uploads/NGS-MIK-ROU-0318.webp","",""
"Ubiquiti U7 Pro","Ubiquiti U7 Pro","NGS-UBI-AP-0316","1199","","10","FALSE","TRUE","TRUE","FALSE","Ubiquiti U7 Pro available at NGS Smart Home Store. Price: 1199 SAR.","Ubiquiti U7 Pro &#8211; Smart Home Product","أكسس بوينت","https://neogen.store/wp-content/uploads/NGS-UBI-AP-0316.webp","",""
"Ubiquiti U6 Pro","Ubiquiti U6 Pro","NGS-UBI-AP-0315","799","","10","FALSE","TRUE","TRUE","FALSE","Ubiquiti U6 Pro available at NGS Smart Home Store. Price: 799 SAR.","Ubiquiti U6 Pro &#8211; Smart Home Product","أكسس بوينت","https://neogen.store/wp-content/uploads/NGS-UBI-AP-0315.webp","",""
"Ubiquiti USW-Pro-24-PoE","Ubiquiti USW-Pro-24-PoE","NGS-UBI-SWI-0314","2999","","10","FALSE","TRUE","TRUE","FALSE","Ubiquiti USW-Pro-24-PoE available at NGS Smart Home Store. Price: 2999 SAR.","Ubiquiti USW-Pro-24-PoE &#8211; Smart Home Product","سويتشات","https://neogen.store/wp-content/uploads/NGS-UBI-SWI-0314.webp","",""
"Ubiquiti USW-Lite-8-PoE","Ubiquiti USW-Lite-8-PoE","NGS-UBI-SWI-0313","549","","10","FALSE","TRUE","TRUE","FALSE","Ubiquiti USW-Lite-8-PoE available at NGS Smart Home Store. Price: 549 SAR.","Ubiquiti USW-Lite-8-PoE &#8211; Smart Home Product","سويتشات","https://neogen.store/wp-content/uploads/NGS-UBI-SWI-0313.webp","",""
"Ubiquiti Dream Router","Ubiquiti Dream Router","NGS-UBI-ROU-0312","999","","10","FALSE","TRUE","TRUE","FALSE","Ubiquiti Dream Router available at NGS Smart Home Store. Price: 999 SAR.","Ubiquiti Dream Router &#8211; Smart Home Product","راوترات","https://neogen.store/wp-content/uploads/NGS-UBI-ROU-0312.webp","",""
"Ubiquiti Dream Machine Pro Max","Ubiquiti Dream Machine Pro Max","NGS-UBI-ROU-0311","3499","","10","FALSE","TRUE","TRUE","FALSE","Ubiquiti Dream Machine Pro Max available at NGS Smart Home Store. Price: 3499 SAR.","Ubiquiti Dream Machine Pro Max &#8211; Smart Home Product","راوترات","https://neogen.store/wp-content/uploads/NGS-UBI-ROU-0311.webp","",""
"Ubiquiti Dream Machine Pro","Ubiquiti Dream Machine Pro","NGS-UBI-ROU-0310","2299","","10","FALSE","TRUE","TRUE","FALSE","Ubiquiti Dream Machine Pro available at NGS Smart Home Store. Price: 2299 SAR.","Ubiquiti Dream Machine Pro &#8211; Smart Home Product","راوترات","https://neogen.store/wp-content/uploads/NGS-UBI-ROU-0310.webp","",""
"Ubiquiti Dream Machine","Ubiquiti Dream Machine","NGS-UBI-ROU-0309","1499","","10","FALSE","TRUE","TRUE","FALSE","Ubiquiti Dream Machine available at NGS Smart Home Store. Price: 1499 SAR.","Ubiquiti Dream Machine &#8211; Smart Home Product","راوترات","https://neogen.store/wp-content/uploads/NGS-UBI-ROU-0309.webp","",""
"SofaBaton X1S","SofaBaton X1S","NGS-SOF-MIS-0308","799","","10","FALSE","TRUE","TRUE","FALSE","SofaBaton X1S available at NGS Smart Home Store. Price: 799 SAR.","SofaBaton X1S &#8211; Smart Home Product","Misc","https://neogen.store/wp-content/uploads/NGS-SOF-MIS-0308.webp","",""
"Espressif ESP32 DevKit","Espressif ESP32 DevKit","NGS-ESP-MIS-0307","35","","10","FALSE","TRUE","TRUE","FALSE","Espressif ESP32 DevKit available at NGS Smart Home Store. Price: 35 SAR.","Espressif ESP32 DevKit &#8211; Smart Home Product","Misc","https://neogen.store/wp-content/uploads/NGS-ESP-MIS-0307.jpg","",""
